Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
15 Romances,,,,"Rachmaninoff, Sergei",Op.26,ISR 54,,"15 songs:
There are Many Sounds
/ Есть много звуков (
Yest′ mnogo zvukov
)
Adagio (D
♭
major)
He Took All from Me
/ Всё отнял у меня (
Vsyo otnyal u menya
)
Tempo Moderato (F
♯
minor)
Let Us Rest
/ Мы отдохнём (
My otdokhnyom
)
Lento (D minor)
Two Partings
/ Два прощанья (
Dva proshchaniya
)
Moderato (C minor)
Beloved, Let Us Fly
/ Покинем, милая (
Pokinem, milaya
)
Moderato (A
♭
major)
Christ Is Risen
/ Христос воскрес (
Khristos voskres
)
Moderato (F minor)
To The Children
/ К детям (
K detyam
)
Lento (F major)
I Beg for Mercy!
/ Пощады я молю! (
Poshchady ya molyu!
)
Allegro con fuoco (A minor)
Again I am Alone
/ Я опять одинок (
Ya opyat′ odinok
)
Allegro (D minor)
Before my Window
/ У моего окна (
U moyego okna
)
Lento (A major)
The Fountain
/ Фонтан (
Fontan
)
Maestoso (D major)
Night is Mournful
/ Ночь печальна (
Noch′ pechal′na
)
Largo (B minor)
When Yesterday We Met
/ Вчера мы встретились (
Vchera my vstretilis′
)
Moderato (D minor)
The Ring
/ Кольцо (
Kol′tso
)
Allegro (B minor)
All Things Pass
/ Проходит всё (
Prokhodit vsyo
)
Adagio (E
♭
minor)","1906
Librettist
Various:
Aleksey Tolstoy
(1817–1875)
Fyodor Tyutchev
(1803–1873)
Anton Chekhov
(1860–1904)
Aleksey Koltsov
(1809–1842
Arseny Golenishchev-Kutuzov
(1848–1913)
Dmitry Merezhkovsky
(1866–1941)
Aleksey Khomyakov
(1804–1860)
Dmitry Merezhkovsky
(1866–1941)
Ivan Bunin
(1870–1953), after
Taras Shevchenko
(1814–1861)
Glafira Galina
(1873–1942)
Fyodor Tyutchev
(1803–1873)
Ivan Bunin
(1870–1953)
Yakov Polonsky
(1819–1898)
Aleksey Koltsov
(1809–1842)
Daniil Rathaus
(1869–1937)
Language
Russian",,,Arkady Kerzin (1856–1914) and Mariya Kerzina (1864–1926),35 minutes,Romantic,Romantic,"https://imslp.org/wiki/15_Romances,_Op.26_(Rachmaninoff,_Sergei)"
14 Romances,"ヴォカリーズ
;
Vocalise
;
Вокализ
;
Vokalise (Rakhmaninov)
;
練聲曲
;
보칼리제 (라흐마니노프)","Vocalise Op.34 no.14
;
《短歌》(Vocalise)
;
Vocalise (Rachmaninov)","WorldCat
;
Wikipedia
;
VIAF
:
175373230
;
LCCN
:
n84017042
;
BNF
:
139176251","Rachmaninoff, Sergei",Op.34,ISR 55,,"14 romances:
1. The Muse
| Муза (
Muza
)
2. In the Soul of Each of Us
| В душе у каждого из нас (
V dushe u kazhdogo iz nas
)
3. The Storm
| Буря (
Burya
)
4. The Migrant Wind
| Ветер перелётный (
Veter perelyotny
)
5. Arion
| Арион (
Arion
)
6. The Raising of Lazarus
| Воскрешение Лазаря (
Voskresheniye Lazarya
)
7. It Cannot Be
| Не может быть! (
Ne mozhet byt′!
)
8. Music
| Музыка (
Muzyka
)
9. You Knew Him
| Ты знал его (
Ty znal yego
)
10. I Remember that Day
| Сей день я помню (
Sey den′, ya pomnyu
)
11. The Peasant
| Оброчник (
Obrochnik
)
12. What Happiness
| Какое счастье (
Kakoye schast′ye
)
13. Dissonance
| Диссонанс (
Dissonans
)
14. Vocalise
| Вокализ (
Vokaliz
)",1912,"1912 - Moscow:
A. Gutheil
Librettist
see below
Aleksandr Pushkin
(1799-1837)
Apollon Korinfsky
(1868-1937)
Aleksandr Pushkin
(1799-1837)
Konstantin Balmont
(1867-1942)
Aleksandr Pushkin
(1799-1837)
Aleksey Khomyakov
(1804-1860)
Apollon Maykov
(1821-1897)
Yakov Polonsky
(1819-1898)
Fyodor Tyutchev
(1803-1873)
Fyodor Tyutchev
(1803-1873)
Afanasy Fet
(1820-1892)
Afanasy Fet
(1820-1892)
Yakov Polonsky
(1819-1898)
Language
Russian",,"No.1 — ""R.E.""
Nos.2, 6, 9, 11 —
Fyodor Shalyapin
(1873–1938)
Nos.3, 4, 5, 10, 12 —
Leonid Sobinov
(1872–1934)
No.7 — Vera Komissarzhevskaya (1864–1910)
No.8 —
Pyotr Tchaikovsky
(1840–1893)
No.13 —
Félia Litvinne
(1861–1936)
No.14 —
Antonina Nezhdanova
(1873–1950)",41 minutes,Romantic,Romantic,"https://imslp.org/wiki/14_Romances,_Op.34_(Rachmaninoff,_Sergei)"
6 Romances,,,,"Rachmaninoff, Sergei",Op.38,ISR 56,,"6 romances:
Ночью в саду у меня
(Noch′yu v sadu u menya)
/ In My Garden at Night
Lento (G minor)
К ней
(K ney)
/ To Her
Andante (F major)
Маргаритки
(Margaritki)
/ Daisies
Lento (F major)
Крысолов
(Krysolov)
/ The Rat-Catcher
Non Allegro. Scherzando (C major)
Сон
(Son)
/ The Dream
Lento (D
♭
major)
А-у!
(A-u!)
/ A-oo
Andante (D
♭
major)",1916,"1916
Librettist
Various:
Aleksandr Blok
(1880–1921), after
Avetik Isaakian
(1875–1957)
""Andrey Belïy"" (=
Boris Bugayev
, 1880–1934)
Igor Severyanin
(1887–1941)
Valery Bryusov
(1873–1924)
Fyodor Sologub
(1863–1927)
Konstantin Balmont
(1867–1942), after
Edgar Allan Poe
(1809–1849)
Language
Russian",,Nina Koshits (1891–1965),15 minutes,Romantic,Romantic,"https://imslp.org/wiki/6_Romances,_Op.38_(Rachmaninoff,_Sergei)"
Russian Rhapsody,"Rosyjska rapsodia
;
Rapsodia russa",,Wikipedia,"Rachmaninoff, Sergei",TN ii/23,ISR 57,E minor,,"1891
First Perf
ormance
.
1891-10-17/29",1948,,,9 minutes,Romantic,Romantic,"https://imslp.org/wiki/Russian_Rhapsody_(Rachmaninoff,_Sergei)"
2 Russian Songs,,,,"Rachmaninoff, Sergei",TN ii/84,ISR 58,,"2 pieces:
At the Gate (lost)
Shoes","1899
Librettist
Traditional
Language
Russian",,,,,Romantic,Early 20th century,"https://imslp.org/wiki/2_Russian_Songs_(Rachmaninoff,_Sergei)"
3 Russian Songs,,,,"Rachmaninoff, Sergei",Op.41,ISR 59,,"3 sections:
Across the River
/ Через речку (
Cherez rechku
)
Moderato (alla breve)—Allegro assai (E minor)
Oh, Ivan!
/ Ах ты, Ванька (
Akh ty, Van′ka
)
Largo (D minor)
Whiten My Rouged Cheeks
/ Белилицы, румяницы вы мои (
Belelitsy, rumyanitsy vy moy
)
Allegro moderato (alla marcia) (B minor)","1926
First Perf
ormance
.
1927-03-18 in Philadelphia
Toronto Mendelssohn Choir, Philadephia Orchestra, Leopold Stokowski (conductor)","1928 - Paris: TAIR
Librettist
Traditional
Language
Russian",,Leopold Stokowski,15 minutes,Romantic,Early 20th century,"https://imslp.org/wiki/3_Russian_Songs,_Op.41_(Rachmaninoff,_Sergei)"
Две духовные песни,,,,"Rachmaninoff, Sergei",TH ii/58,ISR 60,,"2 songs
Prayer [Молитва]
Glory to God (All Things Wish to Sing) [Всё хочет петь]","1916
Librettist
1.
Konstantin Romanov
2.
Fyodor Sologub
Language
Russian",,,Nina Koshetz (1891-1965),,Romantic,Romantic,"https://imslp.org/wiki/2_Sacred_Songs_(Rachmaninoff,_Sergei)"
Scherzo,"管弦楽のためのスケルツォ
;
Scherzo en re menor
;
Scherzo in re minore
;
Σκέρτσο σε Ρε ελάσσονα
;
Скерцо в ре минор",,Wikipedia,"Rachmaninoff, Sergei",TN ii/40,ISR 61,D minor,,"1888* (February 5-21)
First Perf
ormance
.
1945-11-02 in Moscow
Nikolai Anosov, conductor","1947 - Moscow:
Muzgiz",,Alexander Siloti,5 minutes,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_in_D_minor_(Rachmaninoff,_Sergei)"
Songs without Words,,,,"Rachmaninoff, Sergei",TN ii/11 (No.1?),ISR 62,see below,"2 songs:
Lento in D minor
(untitled) in C major",1887; 1931 (reconstruction),1934,,,,Romantic,Romantic,"https://imslp.org/wiki/Songs_without_Words_(Rachmaninoff,_Sergei)"
Spring,"Wiosna
;
Весна
;
Frühling
;
春 (ラフマニノフ)
;
Cantata de primavera
;
La primavera",Cantata de primavera (Rajmaninov),"WorldCat
;
Wikipedia
;
VIAF
:
180672800
;
LCCN
:
n86142850
;
GND
:
300291140
;
BNF
:
13946572n","Rachmaninoff, Sergei",Op.20,ISR 63,E major,,1902,"1903 – Moscow:
Gutheil
Librettist
Nikolay Nekrasov
(1821–1878):
The Verdant Noise
/ Зелёный шум (
Zelyony shum
)
Language
Russian",,"Nikita Morozov
(1864–1925)",16 minutes,Romantic,Romantic,"https://imslp.org/wiki/Spring,_Op.20_(Rachmaninoff,_Sergei)"
String Quartet No.1,,,,"Rachmaninoff, Sergei",TH ii/30,ISR 64,,"2 movements (incomplete):
II.
Romance
/ Романс (
Romans
)
Andante espressivo (G minor)
III.
Scherzo
/ Скерцо (
Skerzo
)
Allegro (D major)","1889-90
First Perf
ormance
.
1945 in Moscow. Beethoven Quartet","1947 - Moscow:
Muzgiz",,,11 minutes,Romantic,Romantic,"https://imslp.org/wiki/String_Quartet_No.1_(Rachmaninoff,_Sergei)"
String Quartet No.2,,,,"Rachmaninoff, Sergei",TN ii/35,ISR 65,G minor,"2 movements (incomplete):
I. Allegro moderato
II. Andante molto sostenuto",1896,1947,,,,Romantic,Romantic,"https://imslp.org/wiki/String_Quartet_No.2_(Rachmaninoff,_Sergei)"
Suite,,,,"Rachmaninoff, Sergei",,ISR 78,D minor,"4 movements:
Lento - Allegro moderato
Lento
Menuetto
Allegro",1891,2002,,,22 minutes,Romantic,Romantic,"https://imslp.org/wiki/Suite_for_Orchestra_(Rachmaninoff,_Sergei)"
Suite No.1,"Suite nr. 1 voor twee piano's
;
組曲第1番
;
Suite pour deux pianos nº 1 de Rachmaninov
;
Suite n.º 1
;
Suite No. 1
;
Suite n. 1
;
Сюита № 1","Suite n°1 op 5 pour deux pianos
;
Suite pour deux pianos n° 1 de rachmaninov
;
Suite pour deux pianos no 1 de Rachmaninov
;
Suite pour deux pianos n° 1
;
Suite n 1
;
Suite n º 1
;
Suite No. 1 for Two Pianos, Op. 5
;
Fantaisie-Tableaux, Op. 5
;
Suite nr. 1 voor twee piano's (Rachmaninov)","WorldCat
;
Wikipedia
;
LCCN
:
n84172819","Rachmaninoff, Sergei",Op.5,ISR 66,G minor,"4 movements:
Баркарола
(Barkarola)
/ Barcarolle
Allegretto (G minor)
И ночь, и любовь
(I noch, i lyubov)
/ Oh Night, Oh Love
Adagio sostenuto (D major)
Слёзы
(Slyozy)
/ Tears
Largo di molto (G minor)
Светлый праздник
(Svetly prazdnik)
/ Easter
Allegro maestoso (G minor)","1893
First Perf
ormance
.
1893-12-12 (30 November O.S.)
Moscow: Sergei Rachmaninoff and Paul Pabst, pianos","1894 – Moscow:
A. Gutheil
, Plate A. 6723 G., 75 pages",,"Pyotr Tchaikovsky
(1840–1893)",23 minutes,Romantic,Romantic,"https://imslp.org/wiki/Suite_No.1,_Op.5_(Rachmaninoff,_Sergei)"
Suite No.2,"Suite nr. 2 voor twee piano's
;
組曲第2番
;
Suite pour deux pianos nº 2 de Rachmaninov
;
Suite No. 2
;
Suite n.º 2
;
Suite n. 2","Suite n°2 op 17 pour deux pianos
;
Suite pour deux pianos no 2 de Rachmaninov
;
Suite pour deux pianos n° 2 de Rachmaninov
;
Suite pour deux pianos n° 2
;
Suite n 2
;
Suite n º 2
;
Suite No. 2 for Two Pianos, Op. 17
;
Suite nr. 2 voor twee piano's (Rachmaninov)","WorldCat
;
Wikipedia
;
LCCN
:
no96027748","Rachmaninoff, Sergei",Op.17,ISR 67,C major,"4 movements:
Introduction
/ Вступление
(Vstupleniye)
Alla marcia (C major)
Waltz
/ Вальс
(Val's)
Presto (G major)
Romance
/ Романс
(Romans)
Andantino (A
♭
major)
Tarantella
/ Тарантелла
Presto (C minor)",1900–01,1901,,"Aleksandr Goldenweiser
(1875–1961)",23 minutes,Romantic,Romantic,"https://imslp.org/wiki/Suite_No.2,_Op.17_(Rachmaninoff,_Sergei)"
Symphonic Dances,"Sinfonische Tänze
;
交響的舞曲
;
Симфонические танцы
;
Danses symphoniques
;
Danzas sinfónicas
;
Симфонічні танці
;
Symfonische dansen
;
Danze Sinfoniche per orchestra
;
Symfoniske danser (Rakhmaninov)
;
교향적 무곡
;
交響舞曲
;
Συμφωνικοί χοροί
;
交响舞曲","Symphonische Tänze
;
Danzas sinfónicas, Op. 45
;
Symfonische dansen op. 45
;
Symfonische dansen (Rachmaninov)
;
Danze Sinfoniche per orchestra, Op. 45
;
Symphonic Dances, Op. 45
;
Συμφωνικοί χοροί, έργο 45
;
Danses symphoniques, op. 45","WorldCat
;
Wikipedia
;
VIAF
:
184682615
;
LCCN
:
n80127151
;
GND
:
300124112
;
SELIBR
:
220257","Rachmaninoff, Sergei",Op.45,ISR 68,,"3 movements:
1. Non Allegro (C minor)
2. Andante con moto. Tempo di Valse (G minor)
3. Lento assai—Allegro vivace (D major)","1940
First Perf
ormance
.
1941-01-03 in Philadelphia
Philadelphia Orchestra, Eugene Ormandy (conductor)",1941,"While
public domain
in Canada, this work is copyright in the US until 1 January 2037.","Eugene Ormandy
and the
Philadelphia Orchestra",35 minutes,Romantic,Romantic,"https://imslp.org/wiki/Symphonic_Dances,_Op.45_(Rachmaninoff,_Sergei)"
Symphony in D minor,"ユース・シンフォニー
;
»Mladostna« simfonija
;
Symfonia młodzieńcza
;
Sinfonía Juvenil
;
Ungdomssymfoni (Rakhmaninov)
;
Sinfonia in re minore (Rachmaninov)
;
سمفونية الشباب
;
Νεανική Συμφωνία
;
青年交响曲","Sinfonia Juvenil
;
Συμφωνία σε Ρε ελάσσονα
;
Youth Symphony in D minor
;
Youth Symphony in D",Wikipedia,"Rachmaninoff, Sergei",TN ii/43,ISR 69,D minor,"1 movement
Grave - Allegro molto",1891,"1947 - Moscow:
Muzgiz
.",,,12 minutes,Romantic,Romantic,"https://imslp.org/wiki/Symphony_in_D_minor_(Rachmaninoff,_Sergei)"
Symphony No.1,"Симфония № 1
;
Symphonie nº 1 de Rachmaninov
;
Symphony No. 1
;
Symfonie nr. 1
;
Симфонія № 1
;
Simfonia núm. 1
;
1. Sinfonie
;
交響曲第1番
;
Sinfonía n.º 1
;
Giao hưởng số 1
;
Symfoni nr. 1 (Rakhmaninov)
;
1. symfonie
;
Sinfonia n. 1
;
第1號交響曲
;
سمفونی شماره ۱ (راخمانینوف)
;
Συμφωνία αρ. 1
;
Symfoni nr. 1","Symphony No. 1 in D Minor, Op. 13
;
Symfonie nr. 1 (Rachmaninov)
;
1η Συμφωνία
;
Συμφωνία αρ. 1, έργο 13
;
1η Συμφωνία, έργο 13
;
Συμφωνία αρ. 1 σε Ρε ελάσσονα, έργο 13
;
1η Συμφωνία σε Ρε ελάσσονα, έργο 13
;
Συμφωνία αρ. 1 σε Ρε ελάσσονα
;
1η Συμφωνία σε Ρε ελάσσονα
;
Συμφωνία σε Ρε ελάσσονα
;
Συμφωνία σε Ρε ελάσσονα, έργο 13
;
Sinfonie Nr. 1","WorldCat
;
Wikipedia
;
LCCN
:
no96063936","Rachmaninoff, Sergei",Op.13,ISR 70,D minor,"4 movements:
I. Grave—Allegro ma non troppo (D minor, 339 bars)
II. Allegro animato (D minor, 506 bars)
III. Larghetto (B
♭
major, 159 bars)
IV. Allegro con fuoco (D major, 466 bars)","1895
First Perf
ormance
.
1897-03-15/27 in St. Petersburg
Russian Symphony Society Orchestra,
Aleksandr Glazunov
(conductor)","1947 - Moscow:
Muzgiz
, Plate M. 18693 Г.",,Anna Alexandrovna Lodyzhenskaya,45 minutes,Romantic,Romantic,"https://imslp.org/wiki/Symphony_No.1,_Op.13_(Rachmaninoff,_Sergei)"
Symphony No.2,"Симфония № 2
;
Symphonie nº 2 de Rachmaninov
;
Symphony No. 2
;
Symfonie nr. 2
;
Симфонія № 2
;
Simfonija št. 2
;
Simfonia núm. 2
;
2. Sinfonie
;
交響曲第2番
;
Sinfonía n.º 2
;
Symfoni nr. 2 (Rakhmaninov)
;
Sinfonia n. 2
;
Sinfonia nro 2 (Rahmaninov)
;
السيمفونيه رقم 2
;
Συμφωνία αρ. 2
;
Symfoni nr. 2
;
第1號交響曲","Symfonie nr. 2 (Rachmaninov)
;
第2號交響曲
;
2η Συμφωνία
;
2η Συμφωνία σε Μι ελάσσονα
;
2η Συμφωνία σε Μι ελάσσονα, έργο 27
;
Συμφωνία αρ. 2 σε Μι ελάσσονα
;
Συμφωνία αρ. 2 σε Μι ελάσσονα, έργο 27
;
2η Συμφωνία, έργο 27
;
Συμφωνία αρ. 2, έργο 27
;
Συμφωνία σε Μι ελάσσονα
;
Συμφωνία σε Μι ελάσσονα, έργο 27
;
Symphony No. 2 in E minor, Op. 27
;
Second Symphony","Wikipedia
;
BNF
:
139176011","Rachmaninoff, Sergei",Op.27,ISR 71,E minor,"4 movements:
I. Largo - Allegro moderato
II. Allegro molto
III. Adagio
IV. Allegro vivace","1906–08
First Perf
ormance
.
1908-02-08 (26 January O.S.) in St. Petersburg
Russian Symphony Society Orchestra / Composer","1908 - Moscow:
A. Gutheil
Score
– Plate A. 8899 G., 230 pages
Parts
– Plate A. 8900 G., 30 parts",,"Sergey Taneyev
(1856–1915)",56 minutes,Romantic,Romantic,"https://imslp.org/wiki/Symphony_No.2,_Op.27_(Rachmaninoff,_Sergei)"
Symphony No.3,"Симфония № 3
;
Symphonie nº 3
;
Symphony No. 3
;
Symfonie nr. 3
;
Симфонія № 3
;
Simfonia núm. 3
;
3. Sinfonie
;
交響曲第3番
;
Sinfonía n.º 3
;
Simfoni No. 3
;
Symfoni nr. 3 (Rakhmaninov)
;
Sinfonia n. 3
;
السيمفونيه رقم 3
;
Συμφωνία αρ. 3
;
Symfoni nr. 3
;
第3號交響曲","Symphony No. 3 in A Minor, Op. 44
;
Symfonie nr. 3 (Rachmaninov)
;
3η Συμφωνία
;
3η Συμφωνία, έργο 44
;
3η Συμφωνία σε Λα ελάσσονα
;
3η Συμφωνία σε Λα ελάσσονα, έργο 44
;
Συμφωνία αρ. 3, έργο 44
;
Συμφωνία αρ. 3 σε Λα ελάσσονα
;
Συμφωνία αρ. 3 σε Λα ελάσσονα, έργο 44
;
Συμφωνία σε Λα ελάσσονα
;
Συμφωνία σε Λα ελάσσονα, έργο 44","WorldCat
;
Wikipedia
;
VIAF
:
181249482
;
LCCN
:
no96064574","Rachmaninoff, Sergei",Op.44,ISR 72,A minor,"3 movements:
I. Lento—Allegro moderato (A minor)
II. Adagio ma non troppo—Allegro vivace (C
♯
minor)
III. Allegro—Allegro vivace—Allegro (Tempo primo)—Allegretto—Allegro vivace (A major)","1935–36, revised 1938
First Perf
ormance
.
1936-11-06 in Philadelphia
Philadelphia Orchestra
,
Leopold Stokowski
(conductor)",1937 - New York: Charles Foley,,,40 minutes,Romantic,Early 20th century,"https://imslp.org/wiki/Symphony_No.3,_Op.44_(Rachmaninoff,_Sergei)"
Trio élégiaque No.1,"Trio élégiaque No. 1
;
Trio élégiaque n.º 1
;
Trio élégiaque nr. 1 (Rakhmaninov)
;
Trio élégiaque nº 1
;
Klaviertrio Nr. 1 g-Moll
;
Trio élégiaque n. 1
;
第一悲歌三重奏",Trio élégiaque,"WorldCat
;
Wikipedia
;
LCCN
:
n87115424","Rachmaninoff, Sergei",TN ii/34,ISR 73,G minor,,"1892
First Perf
ormance
.
1892-02-11 (30 January OS) in Moscow
David Kreyn (violin), Anatoly Brandukov (cello) Sergei Rachmaninoff (piano)","1947 - Moscow:
Muzgiz",,,15 minutes,Romantic,Romantic,"https://imslp.org/wiki/Trio_%C3%A9l%C3%A9giaque_No.1_in_G_minor_(Rachmaninoff,_Sergei)"
Trio élégiaque No.2,"Trio élégiaque nº 2
;
Trio élégiaque No. 2
;
悲しみの三重奏曲
;
Trio élégiaque n.º 2
;
Trio élégiaque nr. 2 (Rakhmaninov)
;
Trio Élégiaque Nr. 2
;
Trio élégiaque n. 2
;
第二悲歌三重奏","ピアノ三重奏曲第1番 (ラフマニノフ)
;
ピアノ三重奏曲第2番 (ラフマニノフ)
;
Klaviertrio Nr. 2
;
Klaviertrio d-Moll
;
Trio Élégiaque in d-Moll
;
Piano Trio No. 2
;
Piano Trio in D minor
;
Trio élégiaque No. 2, Op. 9","WorldCat
;
Wikipedia
;
LCCN
:
n86138061","Rachmaninoff, Sergei",Op.9,ISR 74,D minor,"3 movements
I. Moderato—Allegro vivace (D minor)
II.
Quasi variazione
. Andante (F major)
III. Allegro risoluto—Moderato (D minor)","1893 (5 October-15 December), revised 1907 and 1917
First Perf
ormance
.
1894-01-31 in Moscow
Yuly Konyus
(violin), Anatoly Brandukov (cello), Sergei Rachmaninoff (piano)","1894 by
A. Gutheil
, Moscow (revised issue, 1907)",,"""To the memory of a great artist"" =
Pyotr Tchaikovsky
(1840–1893)",48 minutes,Romantic,Romantic,"https://imslp.org/wiki/Trio_%C3%A9l%C3%A9giaque_No.2_in_D_minor,_Op.9_(Rachmaninoff,_Sergei)"
Variations on a Theme of Chopin,"Variationen über ein Thema von Chopin
;
Variaciones sobre un tema de Chopin
;
Variations sur un thème de Chopin de Rachmaninov
;
ショパンの主題による変奏曲
;
Variaties op een thema van Chopin
;
Wariacje na temat Chopina
;
Варіації на тему Шопена
;
Variasjoner over et tema av Chopin (Rakhmaninov)
;
Variacions sobre un tema de Chopin
;
Вариации на тему Шопена
;
Variazioni su un tema di Chopin
;
וריאציות על נושא של שופן","Variations on a Theme of Chopin, Op. 22
;
Variaties op een thema van Chopin (Rachmaninov)","WorldCat
;
Wikipedia
;
VIAF
:
184298367
;
LCCN
:
n84003153
;
GND
:
300124236
;
BNF
:
14852940b","Rachmaninoff, Sergei",Op.22,ISR 75,C minor,"22 variations:
Theme
. Largo
Variation 1
. Moderato
Variation 2
. Allegro
Variation 3
. (L'istesso tempo)
Variation 4
. (L'istesso tempo)
Variation 5
. Meno mosso
Variation 6
. Meno mosso
Variation 7
. Allegro
Variation 8
. (L'istesso tempo)
Variation 9
. (L'istesso tempo)
Variation 10
. Piu vivo
Variation 11
. Lento
Variation 12
. Moderato
Variation 13
. Largo
Variation 14
. Moderato
Variation 15
. Allegro scherzando
Variation 16
. Lento
Variation 17
. Grave
Variation 18
. Piu mosso
Variation 19
. Allegro vivace
Variation 20
. Presto
Variation 21
. Andante
Variation 22
. Maestoso—Meno mosso—Presto",1902–03,"1903 – Moscow:
A. Gutheil",,"Theodor Leschetizky
(1830–1915)",28 minutes,Romantic,Romantic,"https://imslp.org/wiki/Variations_on_a_Theme_of_Chopin,_Op.22_(Rachmaninoff,_Sergei)"
Variations on a Theme of Corelli,"Variationen über ein Thema von Corelli, op. 42
;
Variaciones sobre un tema de Corelli
;
Variations sur un thème de Corelli
;
コレルリの主題による変奏曲
;
Variaties op een thema van Corelli
;
Wariacje na temat Corellego
;
Variasjoner over et tema av Corelli
;
Вариации на тему Корели
;
Variazioni su un tema di Corelli
;
Παραλλαγές σε ένα θέμα του Κορέλι
;
וריאציות על נושא של קורלי","Variations on a Theme of Corelli, Op. 42
;
Variaties op een thema van Corelli (Rachmaninov)
;
וריאציות על נושא מאת פורלי
;
וריאציות על לה פוליה","WorldCat
;
Wikipedia
;
VIAF
:
309874393
;
LCCN
:
n81129513
;
GND
:
300124228","Rachmaninoff, Sergei",Op.42,ISR 76,D minor,"23 movements:
Theme
. Andante
Variation 1
. Poco piu mosso
Variation 2
. L'istesso tempo
Variation 3
. Tempo di Minuetto
Variation 4
. Andante
Variation 5
. Allegro (ma non tanto)
Variation 6
. L'istesso tempo
Variation 7
. Vivace
Variation 8
. Adagio misterioso
Variation 9
. Un poco piu mosso
Variation 10
. Allegro scherzando
Variation 11
. Allegro vivace
Variation 12
. L'istesso tempo
Variation 13
. Agitato
Intermezzo
Variation 14
. Andante (come prima)
Variation 15
. L'istesso tempo
Variation 16
. Allegro vivace
Variation 17
. Meno mosso
Variation 18
. Allegro con brio
Variation 19
. Piu mosso. Agitato
Variation 20
. Piu mosso
Coda
. Andante",1931,1931,,"Fritz Kreisler
(1875–1962)",18 minutes,Romantic,Early 20th century,"https://imslp.org/wiki/Variations_on_a_Theme_of_Corelli,_Op.42_(Rachmaninoff,_Sergei)"
14 Romances,"ヴォカリーズ
;
Vocalise
;
Вокализ
;
Vokalise (Rakhmaninov)
;
練聲曲
;
보칼리제 (라흐마니노프)","Vocalise Op.34 no.14
;
《短歌》(Vocalise)
;
Vocalise (Rachmaninov)","WorldCat
;
Wikipedia
;
VIAF
:
175373230
;
LCCN
:
n84017042
;
BNF
:
139176251","Rachmaninoff, Sergei",Op.34,ISR 55,,"14 romances:
1. The Muse
| Муза (
Muza
)
2. In the Soul of Each of Us
| В душе у каждого из нас (
V dushe u kazhdogo iz nas
)
3. The Storm
| Буря (
Burya
)
4. The Migrant Wind
| Ветер перелётный (
Veter perelyotny
)
5. Arion
| Арион (
Arion
)
6. The Raising of Lazarus
| Воскрешение Лазаря (
Voskresheniye Lazarya
)
7. It Cannot Be
| Не может быть! (
Ne mozhet byt′!
)
8. Music
| Музыка (
Muzyka
)
9. You Knew Him
| Ты знал его (
Ty znal yego
)
10. I Remember that Day
| Сей день я помню (
Sey den′, ya pomnyu
)
11. The Peasant
| Оброчник (
Obrochnik
)
12. What Happiness
| Какое счастье (
Kakoye schast′ye
)
13. Dissonance
| Диссонанс (
Dissonans
)
14. Vocalise
| Вокализ (
Vokaliz
)",1912,"1912 - Moscow:
A. Gutheil
Librettist
see below
Aleksandr Pushkin
(1799-1837)
Apollon Korinfsky
(1868-1937)
Aleksandr Pushkin
(1799-1837)
Konstantin Balmont
(1867-1942)
Aleksandr Pushkin
(1799-1837)
Aleksey Khomyakov
(1804-1860)
Apollon Maykov
(1821-1897)
Yakov Polonsky
(1819-1898)
Fyodor Tyutchev
(1803-1873)
Fyodor Tyutchev
(1803-1873)
Afanasy Fet
(1820-1892)
Afanasy Fet
(1820-1892)
Yakov Polonsky
(1819-1898)
Language
Russian",,"No.1 — ""R.E.""
Nos.2, 6, 9, 11 —
Fyodor Shalyapin
(1873–1938)
Nos.3, 4, 5, 10, 12 —
Leonid Sobinov
(1872–1934)
No.7 — Vera Komissarzhevskaya (1864–1910)
No.8 —
Pyotr Tchaikovsky
(1840–1893)
No.13 —
Félia Litvinne
(1861–1936)
No.14 —
Antonina Nezhdanova
(1873–1950)",41 minutes,Romantic,Romantic,"https://imslp.org/wiki/Vocalise_(Rachmaninoff,_Sergei)"
Abbé Stadler,,,,"Beethoven, Ludwig van",WoO 178,ILB 1,G minor,"1 Cannon
Text Incipit
Signor Abbte Io sono, Io sono, Io sono ammalato.",1820,"1864
Librettist
Composer
Language
Italian with German (second half)",,,1 minute,Classical,Classical,"https://imslp.org/wiki/Abb%C3%A9_Stadler,_WoO_178_(Beethoven,_Ludwig_van)"
Abendlied unterm gestirnten Himmel,,,,"Beethoven, Ludwig van",WoO 150,ILB 2,E major,Ziemlich anhaltend,1820 March 4,"1820 March 28 - Wiener Modenzeitung und Zeitschrift für Kunst, schöne Literatur und Theater
Language
German",,"Dr.
Anton Braunhofer",5 minutes,Classical,Classical,"https://imslp.org/wiki/Abendlied_unter%27m_gestirnten_Himmel,_WoO_150_(Beethoven,_Ludwig_van)"
