,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,Year/Date of Composition,Name Translations,Authorities,Average Duration,First Publication,Dedication,Name Aliases,Language,Copyright Information
25459,"9 Variations on ""Lison dormait""","Mozart, Wolfgang Amadeus",K.264 ; K⁶.315d,IWM 612,C major,"10 (theme and 9 variations)
Theme: Andante (C major)
Var.1
Var.2
Var.3
Var.4
Var.5: Minore (C minor)
Var.6: Maggiore
Var.7
Var.8
Var.9: Allegro - Cadenza - Tempo I",Classical,Classical,Piano,"https://imslp.org/wiki/9_Variations_on_%22Lison_dormait%22,_K.264/315d_(Mozart,_Wolfgang_Amadeus)","Variationen über ein Thema von Nicolas Dezède
9 Variationen in C über die Ariette ""Lison dormait"" aus dem Singspiel Julie",1778,"N.ドゼードの「リゾンは森で眠っていた」による9つの変奏曲
;
Neuf variations sur «Lison dormait»
;
Nine Variations on ""Lison dormait"", K.264/315d
;
Neun Variationen für Klavier über ""Lison dormait""","WorldCat
;
VIAF
:
186124000
;
LCCN
:
no99067054
;
GND
:
300111789
;
BNF
:
13940798f",,,,"Neun Variationen für Clavier über »Lison dormait«  Neun Variationen für Clavier über ""Lison dormait""
;
Neun Variationen über ein Thema von N. Dezède ""Lison dormait""
;
Neun Variationen für Klavier über ein Thema von Nicolas Dezède ""Lison dormait”
;
KV 264
;
KV 315d
;
K 264
;
K 315d",,
08919,"Allegro Moderato, D.347","Schubert, Franz",D.347,IFS 36,C major,Allegro moderato (fragment),Romantic,Romantic,Piano,"https://imslp.org/wiki/Allegro_moderato_in_C_major,_D.347_(Schubert,_Franz)",,1813 (?),,,,".
1897 –
Franz Schubert's Werke
,
Breitkopf & Härtel",,,,
12686,Album Leaf,"Scriabin, Aleksandr",Op.58,IAS 12,,1,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/Feuillet_d%27album,_Op.58_(Scriabin,_Aleksandr)",,1910,,,,,,,,
00819,4 Duettos,"Bach, Johann Sebastian",BWV 802-805 ; BC J 74–77 ; Op.3 Nos.23–26,"None
[
force assignment
]",,"4 duets:
Duetto No.1 in E minor
, BWV 802
Duetto No.2 in F major
, BWV 803
Duetto No.3 in G major
, BWV 804
Duetto No.4 in A minor
, BWV 805",Baroque,Baroque,Piano,"https://imslp.org/wiki/4_Duettos,_BWV_802-805_(Bach,_Johann_Sebastian)",,,,,,".
1739 in
Clavier-Übung III
(Nos.23-26)",,,,
112601,Mazurka in A minor,"Chopin, Frédéric",B.134,IFC 38,A minor,Allegretto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurka_in_A_minor,_B.134_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1839-41,,,,,,,,
58125,Fantasia for Piano in G minor,"Beethoven, Ludwig van",Op.77,ILB 65,G minor,Allegro,Classical,Classical,Piano,"https://imslp.org/wiki/Fantasia_for_Piano,_Op.77_(Beethoven,_Ludwig_van)",Fantasia in G minor,1809,"Fantaisie pour piano opus 77
;
Fantasía para piano (Beethoven)
;
幻想曲
;
Klavierfantasie
;
Fantasia en sol menor op.77 Beethoven
;
G小调幻想曲","WorldCat
;
LCCN
:
no96045334
;
BNF
:
148210284",,".
1810",Franz Graf von Brunswick,"Fantasia para piano (Beethoven)
;
Fantasia in G Minor, Op. 77",,
00215,Piano Sonata No.6,"Mozart, Wolfgang Amadeus",K.284 ; K⁶.205b ; Op.7 No.2,IWM 406,D major,"3 movements:
I. Allegro
II. Rondeau en polonaise
III. Tema con variazione",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.6_in_D_major,_K.284/205b_(Mozart,_Wolfgang_Amadeus)",Dürnitz Sonata,1775,"ピアノソナタ第6番
;
סונאטה לפסנתר מס' 6 של מוצרט
;
Sonate pour piano n° 6 de Mozart
;
Piano Sonata No. 6
;
Sonata para piano n.º 6
;
Соната для фортепіано № 6
;
Sonata per pianoforte n. 6
;
Pianosonate nr. 6
;
Sonata per a piano núm. 6
;
Klaviersonate Nr. 6
;
Klaviersonate nr. 6 (Mozart)
;
Σονάτα για πιάνο No. 6
;
피아노 소나타 6번","WorldCat
;
Wikipedia
;
LCCN
:
n94076653
;
BNF
:
147864035",,,Thaddäus Wolfgang von Dürniz,"סונאטה לפסנתר מס' 6
;
SONATE POUR PIANO NO.6 K.284
;
Sonate pour piano no 6 de Mozart
;
Sonata para piano no 6 en Re mayor, K 284
;
Sonata Dürnitz
;
Sonata para piano n 6 en Re mayor, K 284
;
Sonata para piano n. 6
;
Sonata para piano no 6 en Re mayor K. 284
;
Sonata para piano nº 6 en Re mayor, K 284
;
Sonata para piano n.º 6 en Re mayor, K. 284
;
Sonata para piano n. 6 en Re mayor, K. 284
;
Sonata para piano n 6 en Re mayor K 284
;
Sonata para piano n º 6 en Re mayor K 284
;
Sonata para piano n 6 en Re mayor K. 284
;
Sonata para piano no 6 en Re mayor, K. 284
;
KV 284
;
Sonata para piano n 6 en Re mayor, K. 284
;
Sonata para piano no. 6 en Re mayor K. 284
;
Sonata para piano n. 6 en Re mayor K. 284
;
K 284
;
Pianosonate nr. 6 (Mozart)
;
Piano Sonata in D Major, K. 284",,
114999,Tarantella,"Chopin, Frédéric",Op.43 ; CT 205,IFC 104,A-flat major,Presto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Tarantella,_Op.43_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1841,"タランテラ
;
Tarantelle in A-flat major, Op. 43
;
Tarantela
;
Tarantella op. 43
;
Tarantel·la
;
Tarantelo en A-bemolo-maĵoro","WorldCat
;
Wikipedia
;
LCCN
:
no99014551",3 minutes,".
1841",,Tarantela de Chopin,,
03107,Paraphrase de concert sur Ernani II,"Liszt, Franz",S.432 ; LW.A203,IFL 286,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/Paraphrase_de_concert_sur_Ernani_II,_S.432_(Liszt,_Franz)",,1859?,,,,".
1860 – Hamburg/Leipzig:
Schuberth & Co.",,,,
58129,"Polonaise in C Major, Op.89","Beethoven, Ludwig van",Op.89,ILB 204,C major,"Alla Polacca, vivace",Classical,Classical,Piano,"https://imslp.org/wiki/Polonaise_in_C_major,_Op.89_(Beethoven,_Ludwig_van)",,1814,,,,,"Elisabeth III., Zarin von Russland",,,
12666,4 Preludes,"Scriabin, Aleksandr",Op.48,IAS 69,,4 preludes,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/4_Preludes,_Op.48_(Scriabin,_Aleksandr)",,1905,,,,".
1905 ca.",,,,
06970,Heroischer Marsch in ungarischem Stil,"Liszt, Franz",S.231 ; LW.A65,IFL 156,,1 march,Romantic,Romantic,Piano,"https://imslp.org/wiki/Heroischer_Marsch_in_ungarischem_Stil,_S.231_(Liszt,_Franz)",Marche héroïque dans le genre hongrios,1840,,,,".
1840","Ferdinand II, King of Portugal (1816–1885)",,,
29933,Das wohltemperierte Klavier II. Praeludia und Fugen durch alle Tone und Semitonia,"Bach, Johann Sebastian",BWV 870–893 ; BC L 104-127,IJB 722,,"24 præludium and fuga:
1.
Prelude and Fugue in C major
, BWV 870
1a.
Prelude and Fugue in C major
, BWV 870a
1b.
Prelude and Fugue in C major
, BWV 870b
2.
Prelude and Fugue in C minor
, BWV 871
3.
Prelude and Fugue in C-sharp major
, BWV 872
3a.
Prelude and Fugue in C major
, BWV 872a
4.
Prelude and Fugue in C-sharp minor
, BWV 873
5.
Prelude and Fugue in D major
, BWV 874
6.
Prelude and Fugue in D minor
, BWV 875
6a.
Praeambulum in D minor
7.
Prelude and Fugue in E-flat major
, BWV 876
8.
Prelude and Fugue in D-sharp minor
, BWV 877
9.
Prelude and Fugue in E major
, BWV 878
10.
Prelude and Fugue in E minor
, BWV 879
11.
Prelude and Fugue in F major
, BWV 880
12.
Prelude and Fugue in F minor
, BWV 881
13.
Prelude and Fugue in F-sharp major
, BWV 882
14.
Prelude and Fugue in F-sharp minor
, BWV 883
15.
Prelude and Fugue in G major
, BWV 884
16.
Prelude and Fugue in G minor
, BWV 885
17.
Prelude and Fugue in A-flat major
, BWV 886
18.
Prelude and Fugue in G-sharp minor
, BWV 887
19.
Prelude and Fugue in A major
, BWV 888
20.
Prelude and Fugue in A minor
, BWV 889
21.
Prelude and Fugue in B-flat major
, BWV 890
22.
Prelude and Fugue in B-flat minor
, BWV 891
23.
Prelude and Fugue in B major
, BWV 892
24.
Prelude and Fugue in B minor
, BWV 893",Baroque,Baroque,Piano,"https://imslp.org/wiki/Das_wohltemperierte_Klavier_II,_BWV_870-893_(Bach,_Johann_Sebastian)","The Well-Tempered Clavier, Book 2. Preludes and Fugues through all tones and semitones",1740 ca.,"Das wohltemperierte Klavier II
;
The Well-Tempered Clavier 2
;
Le Clavier bien tempéré, livre II
;
Хорошо темперированный клавир. Часть II
;
El clavecí ben temprat 2
;
الكلافسان المعدَّل
;
平均律クラヴィーア曲集 第2巻","WorldCat
;
VIAF
:
294801554
;
LCCN
:
n81075781
;
GND
:
300011962
;
NLA
:
35163764
;
BNE
:
XX2615606",,".
1801 -
Berlin: N. Simrock, Plate 138",,"The Well-Tempered Clavier Book 2
;
The Well-Tempered Clavier Book II
;
WTC2
;
WTC 2
;
WTC II
;
well tempered clavier
;
le clavecin bien tempéré",,
53030,9 Variations on 'Quant'e piu bello',"Beethoven, Ludwig van",WoO 69,ILB 308,A major,"theme, 9 variations:
Theme. Allegretto (A major)
Variation 1 (A major)
Variation 2 (A major)
Variation 3 (A major)
Variation 4 (A minor)
Variation 5 (A major)
Variation 6 (A major)
Variation 7 (A major)
Variation 8 (A major)
Variation 9. Tempo di Minuet (A major)",Classical,Classical,Piano,"https://imslp.org/wiki/9_Variations_on_%27Quant%27e_piu_bello%27,_WoO_69_(Beethoven,_Ludwig_van)",,,,,,,"Karl Lichnowsky
(1761–1814)",,,
167544,Rondo in E-flat major,"Chopin, Frédéric",Op.16,IFC 99,E-flat major,Andante - Allegro vivace,Romantic,Romantic,Piano,"https://imslp.org/wiki/Rondo_in_E-flat_major,_Op.16_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1833,,,10 minutes,,Caroline Hartmann,,,
111844,Mazurkas,"Chopin, Frédéric",Op.41,IFC 53,,"4 pieces:
Maestoso (C
♯
minor)
Andantino (E minor)
Animato (B major)
Allegretto (A
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurkas,_Op.41_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1838-1839,"Mazurkas, Op. 41
;
マズルカ作品41 (ショパン)
;
4 Mazurche op. 41
;
Masurques op. 41
;
Μαζούρκες, έργο 41","WorldCat
;
Wikipedia
;
LCCN
:
no2001099648",,".
1840",Stefan Witwicki,"4 Mazurkas, Op. 41
;
Four Mazurkas, Op. 41
;
Μαζούρκες, Op. 41",,
06595,Contredanse in G-flat major,"Chopin, Frédéric",B.17,IFC 18,G-flat major,Allegretto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Contredanse_in_G-flat_major,_B.17_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1827 or 1829,"Contradanza para piano (Chopin)
;
Contredanse in G-flat major, B. 17
;
Contredanse",,,".
1934",,,,
00222,Piano Sonata No.13,"Mozart, Wolfgang Amadeus",K.333 ; K⁶.315c,IWM 413,B-flat major,"3 movements:
Allegro
Andante cantabile
Allegretto grazioso",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.13_in_B-flat_major,_K.333/315c_(Mozart,_Wolfgang_Amadeus)",Linz Sonata,1783,"Pianosonate nr. 13
;
Piano Sonata No. 13
;
Sonata para piano n.º 13
;
ピアノソナタ第13番
;
Соната для фортепіано № 13
;
Sonata per a piano núm. 13
;
Sonate Nr. 13 B-Dur KV 333
;
Sonate pour piano nº 13
;
Klaviersonate nr. 13 (Mozart)
;
Sonata per pianoforte n. 13
;
Σονάτα για πιάνο No. 13 (Μότσαρτ)
;
피아노 소나타 13번
;
Соната для клавира № 13 (Моцарт)","WorldCat
;
Wikipedia
;
LCCN
:
n81085484
;
BNF
:
139980107",,".
1784",,"Pianosonate nr. 13 (Mozart)
;
Piano Sonata in B-flat Major, K. 333",,
01024,Prelude and Fugue No.20 in A minor,"Bach, Johann Sebastian",BWV 865 ; BC L 99,IJB 486,A minor,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_A_minor,_BWV_865_(Bach,_Johann_Sebastian)",Praeludium et Fuga a 4 voci,"1722 in
Das wohltemperierte Klavier I, BWV 846-869
(No.20)","Präludium und Fuge a-Moll BWV 865
;
Prélude et fugue en la mineur (BWV 865)
;
Прелюдия и фуга ля минор, BWV 865","GND
:
1076375596
;
BNF
:
139449263",,".
1801",,,,
302473,Spinnerlied aus dem Fliegenden Holländer,"Liszt, Franz",S.440 ; LW.A204,IFL 362,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Spinnerlied_aus_dem_Fliegenden_Holl%C3%A4nder,_S.440_(Liszt,_Franz)",Chœur des fileuses de l'opéra «Vaisseau Fantôme»,1860,,,,".
1862 – Leipzig:
Breitkopf und Härtel","Louis Jungmann
(1832-92)",,,
02100,French Suite No.1 in D minor,"Bach, Johann Sebastian",BWV 812 ; BC L 19,IJB 170,D minor,"6 movements:
Allemande
Courante
Sarabande
Menuet I
Menuet II
Gigue",Baroque,Baroque,Piano,"https://imslp.org/wiki/French_Suite_No.1_in_D_minor,_BWV_812_(Bach,_Johann_Sebastian)",,"1722 ca. from the
Notebooks for Anna Magdalena Bach
(Nos.1, 30)","French Suite No. 1
;
Suite française n° 1","BNF
:
13909923f",,".
1802-03 in
6 French Suites
(No.1)",,,,
12668,4 Morceaux,"Scriabin, Aleksandr",Op.51,IAS 42,,"4 pieces:
Fragilité
Prélude
Poëme ailé
Danse languide",Romantic,Early 20th century,Piano,"https://imslp.org/wiki/4_Pieces,_Op.51_(Scriabin,_Aleksandr)",,1906,,,,".
1907",,,,
08918,Allegretto in C major,"Schubert, Franz",D.346,IFS 31,C major,Allegretto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Allegretto_in_C_major,_D.346_(Schubert,_Franz)",,1816 (?),,,5-6 minutes,".
1897 –
Franz Schubert's Werke
,
Breitkopf & Härtel",,,,
02094,English Suite No.1,"Bach, Johann Sebastian",BWV 806 ; BC L 13,IJB 113,A major,"10 movements:
1. Prélude
2. Allemande
3. Courante I
4. Courante II avec deux Doubles
4a. Double I
4b. Double II
5. Sarabande
6. Bourrée I
7. Bourrée II
8. Gigue",Baroque,Baroque,Piano,"https://imslp.org/wiki/English_Suite_No.1_in_A_major,_BWV_806_(Bach,_Johann_Sebastian)",,1715-23,,,,".
1805-13 in
6 English Suites
(No.1)",,,,
08923,Adagio in C major,"Schubert, Franz",D.349,IFS 21,C major,Adagio,Romantic,Romantic,Piano,"https://imslp.org/wiki/Adagio_in_C_major,_D.349_(Schubert,_Franz)",,1816 (?),,,4 minutes,".
1897 –
Franz Schubert's Werke
,
Breitkopf & Härtel",,,,
111840,Mazurkas,"Chopin, Frédéric",Op.24,IFC 50,,"4 pieces:
Lento (G minor)
Allegro non troppo (C major)
Moderato con anima (A
♭
major)
Moderato (B
♭
minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurkas,_Op.24_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1834-35,"マズルカ作品24 (ショパン)
;
Mazurki op. 24 (Chopin)
;
Mazurkas, Op. 24
;
Mazurka's
;
Masurques op. 24
;
4 Mazurche op. 24
;
Μαζούρκες, έργο 24","WorldCat
;
Wikipedia
;
VIAF
:
181280059
;
LCCN
:
no2001095829",,".
1835 – Leipzig:
Breitkopf und Härtel
(
Hofmeister's
Monatsbericht
(1835), p.116
)",A Mr. le Comte de Perthuis,"Mazurka's, opus 24 (Chopin)
;
Four Mazurkas, Op. 24
;
Μαζούρκες, Op. 24",,
64798,Deux morceaux,"Scriabin, Aleksandr",Op.59,IAS 46,,"2 pieces:
Poème
Prelude",Romantic,Early 20th century,Piano,"https://imslp.org/wiki/2_Pieces,_Op.59_(Scriabin,_Aleksandr)",,1911,,,,".
1912",,,,
12735,Piano Sonata No.9,"Scriabin, Aleksandr",Op.68,IAS 37,,1 movement,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/Piano_Sonata_No.9,_Op.68_(Scriabin,_Aleksandr)",Messe noire (Black Mass),,"Pianosonate nr. 9
;
Piano Sonata No. 9
;
sonate pour piano nº 9 op. 68
;
ピアノソナタ第9番
;
Klavirska sonata št. 9
;
Соната для фортепиано № 9 (Скрябин)
;
Klaviersonate Nr. 9
;
Sonata per pianoforte n. 9 (Skrjabin)
;
第9钢琴奏鸣曲 (斯克里亚宾)
;
피아노 소나타 9번
;
Sonata para piano n.° 9 (Skriabin)","WorldCat
;
Wikipedia
;
LCCN
:
no94037474
;
BNF
:
139193548",,".
1913 – Moscow:
P. Jurgenson",,"Messe noire
;
sonate pour piano nº 9 « Messe noire » de Scriabine
;
Piano Sonata No. 9 in F Major, Op. 68, ""Black Mass""
;
Piano Sonata No. 9 in F Major, Op. 68, ""Messe noire""
;
Pianosonate nr. 9 (Skrjabin)",,
00360,Piano Sonata in C minor,"Schubert, Franz",D.958,IFS 592,C minor,"4 movements:
Allegro (C minor)
Adagio (A
♭
major)
Menuetto
. Allegro —
Trio
(C minor)
Allegro (C minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_in_C_minor,_D.958_(Schubert,_Franz)",Piano Sonata No.13; Piano Sonata No.19,1828 September,"ピアノソナタ第19番 (シューベルト)
;
Sonate pour piano nº 19 de Schubert
;
Klaviersonate Nr. 19
;
Sonata in C minor, D. 958
;
Sonata per a piano núm. 19 en do menor, D 958
;
Sonata para piano en do menor (Schubert)","WorldCat
;
LCCN
:
n81022460",32 minutes,".
1839 – Vienna:
Diabelli",,"Klaviersonate Nr. 19, c-Moll, D 958
;
D 958
;
Sonate pour piano no 19 en do mineur, D. 958",,
04320,Prelude and Fugue in G major,"Bach, Johann Sebastian",BWV 550 ; BC J 21,IJB 542,G major,"2 sections:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_G_major,_BWV_550_(Bach,_Johann_Sebastian)",Præludium et Fuga in G,1710 (around),,,,".
1845 or earlier
WorldCat",,,,
04180,Mephisto Waltz No.3,"Liszt, Franz","S.215a (1st version)
S.216 ; LW.A325 (2nd version)",IFL 253,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mephisto_Waltz_No.3,_S.216_(Liszt,_Franz)",Dritter Mephisto-Walzer,1883,,,,".
1883 (2nd version)
Hofmeister's
Monatsbericht
(1884), p.5","Marie Jaëll
(1846–1925)",,,
111374,Piano Sonata No.2,"Chopin, Frédéric",Op.35,IFC 76,B-flat minor,"4 movements:
Grave - Doppio movimento (B
♭
minor)
Scherzo (E
♭
minor) - Più lento (G
♭
major)
Marche funèbre (B
♭
minor)
Finale. Presto (B
♭
minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.2,_Op.35_(Chopin,_Fr%C3%A9d%C3%A9ric)",,"1837 (3rd mvt), 1839 (the rest)","Klaviersonate Nr. 2
;
Piano Sonata No. 2 in B-flat minor, Op. 35
;
Sonata para piano n.º 2
;
Pianorako sonata 2. zbk
;
Sonate pour piano nº 2 de Chopin
;
Sonata per pianoforte n. 2 op. 35
;
ピアノソナタ第2番
;
II Sonata fortepianowa
;
Sonata n.º 2
;
Соната № 2
;
Соната для фортепіано № 2
;
Sonata per a piano núm. 2
;
سونات ۲ پیانو
;
Pianosonaatti nro 2
;
Σονάτα για πιάνο No. 2
;
第二号钢琴奏鸣曲 (肖邦)
;
피아노 소나타 2번","WorldCat
;
Wikipedia
;
VIAF
:
190418447
;
LCCN
:
n81024626
;
GND
:
300037864
;
SELIBR
:
272402
;
BNF
:
14801280c
;
NLA
:
35427355",,".
1840",,"The Funeral March [3rd movement]
;
De Dodenmars",,
05823,Allein Gott in der Höh sei Ehr,"Vetter, Nicolaus",Emans 22 ; BWV Anh.III 172 ; (BWV 771),INV 1,G major,17 variations,Baroque,Baroque,Piano,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr%27,_BWV_771_(Bach,_Johann_Sebastian)",Partita über 'Allein Gott in der Höh sei Ehr',1735?,,,,".
1893",,,,
379726,6 Waltzes,"Beethoven, Ludwig van",Anh 14,ILB 335,see below,"6 Waltzes
Sehnsuchtwalzer, Valse, le désir. Moderato espressivo (A
♭
major)
Schmerzenwalzer. Appassionato (F minor)
Hoffnungswalzer. Risoluto (E
♭
major)
Geisterwalzer (A major)
Walzer. Con delicatezza (F major)
Walzer. Risoluto (D
♭
major)",Classical,Classical,Piano,"https://imslp.org/wiki/6_Waltzes,_Anh_14_(Beethoven,_Ludwig_van)",6 valses et une marche funèbre (see note),,,,,,,,,
471954,Divertimento,"Haydn, Joseph",Hob.XVI:4,IJH 156,D major,"2 movements:
Allegro (D major)
Minuet - Trio (D major)",Classical,Classical,Piano,"https://imslp.org/wiki/Divertimento_in_D_major,_Hob.XVI:4_(Haydn,_Joseph)",Klaviersonate Nr.9,1765?,,,,".
1918",,,,
86698,Waltzes,"Chopin, Frédéric",Op.34,IFC 118,,"3 waltzes:
Vivace, CT 208
(A
♭
major)
Lento, CT 209
(A minor)
Vivace, CT 210
(F major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Waltzes,_Op.34_(Chopin,_Fr%C3%A9d%C3%A9ric)",,"1835 (No.1), 1838 (Nos.2-3)","Waltzes, Op. 34
;
華麗なる円舞曲 (ショパン)
;
Три блестящих вальса, соч. 34
;
3 Valzer op. 34
;
Valsos op. 34
;
왈츠, Op. 34
;
圆舞曲，作品34
;
Valses op. 34 de Chopin","WorldCat
;
Wikipedia
;
VIAF
:
179640963
;
LCCN
:
no97077636
;
BNF
:
15527207s",,".
1838",Fräulein Thun–Hohenstein,"華麗なる円舞曲
;
Three Waltzes, Op. 34
;
3 Waltzes, Op. 34
;
Trois grandes valses brillantes, Op. 34
;
3 valses Op. 34",,
55456,Piano Concerto,"'s arrangement of his Violin Concerto)
Composer
Beethoven, Ludwig van",Op.61a,ILB 152,D major,"3 movements:
Allegro ma non troppo
Larghetto
Rondo",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Concerto_in_D_major,_Op.61a_(Beethoven,_Ludwig_van)",(,1807,,,,".
1808 (August) - Vienna:
Comptoir des Arts et de l'Industrie",Stephan von Breuning (1774-1827),,,
205849,Impromptu brillant sur des thèmes de Rossini et Spontini,"Liszt, Franz",S.150 ; LW.A5 ; Op.3,IFL 197,,1 impromptu,Romantic,Romantic,Piano,"https://imslp.org/wiki/Impromptu_brillant_sur_des_th%C3%A8mes_de_Rossini_et_Spontini,_S.150_(Liszt,_Franz)",,1824,,,,".
1825 - Paris: Erard / London:
Boosey",Countess Eugénie de Noirberne,,,
06407,Passacaglia in D minor,"Witt, Christian Friedrich",BWV Anh.182 (J. S. Bach),ICW 1,D minor,1,Baroque,Baroque,Piano,"https://imslp.org/wiki/Passacaglia_in_D_minor,_BWV_Anh.182_(Bach,_Johann_Sebastian)",,,,,,".
1894 or earlier",,,,
12741,2 Danses,"Scriabin, Aleksandr",Op.73,IAS 5,,"2 movements:
Guirlandes [Гирлянды]
Flammes sombres [Тёмное пламя]",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Danses,_Op.73_(Scriabin,_Aleksandr)",,,,,,".
1914",,,,
160209,"Komm, Heiliger Geist","Bach, Johann Sebastian","BWV 652, 652a ; BC K 75",IJB 865,G major,1 chorale prelude (199 bars),Baroque,Baroque,Piano,"https://imslp.org/wiki/Komm,_Heiliger_Geist,_BWV_652a_(Bach,_Johann_Sebastian)","Komm, Heiliger Geist alio modo a 2 Clav. e Pedale","1747-48 in
18 Chorale Preludes
(No.2)",,,,".
1846 or before",,,,
03125,"March in E, D.606","Schubert, Franz",D.606,IFS 484,E major,Allegro con brio,Romantic,Romantic,Piano,"https://imslp.org/wiki/March_in_E_major,_D.606_(Schubert,_Franz)",,1818 (?),,,3-6 minutes,".
1840",,,,
03990,Réminiscences de Norma de Bellini,"Liszt, Franz",S.394 ; LW.A77,IFL 323,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/R%C3%A9miniscences_de_Norma,_S.394_(Liszt,_Franz)",Grande fantasie,1841,,,,".
1844 – Mainz:
Schott
; Paris:
Bernard Latte",Marie Pleyel,,,
56702,Suite,"Mozart, Wolfgang Amadeus",K.399 ; K⁶.385i,IWM 534,C major,"3 movements
Ouverture (Grave - Allegro)
Allemande (Andante)
Courante (Allegretto)",Classical,Classical,Piano,"https://imslp.org/wiki/Suite_in_C_major,_K.399/385i_(Mozart,_Wolfgang_Amadeus)",,1782,,,,,,,,
95919,Réminiscences de 'Lucia di Lammermoor',"Liszt, Franz",S.397 ; LW.A22 ; Op.13,IFL 321,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/R%C3%A9miniscences_de_Lucia_di_Lammermoor,_S.397_(Liszt,_Franz)",Fantaisie dramatique pour le piano; Premiere Partie,1835–36,,,,".
1840 – Leipzig:
Friedrich Hofmeister",Madame Vanotti,,,
05831,Sonata in a,"Bach, Johann Sebastian",BWV 965 ; BC L 187,IJB 603,A minor,"8 movements:
Adagio
Fuga
Adagio
Allemande
Courante
Sarabande
Gigue",Baroque,Baroque,Piano,"https://imslp.org/wiki/Sonata_in_A_minor,_BWV_965_(Bach,_Johann_Sebastian)",,1705?,,,,".
1866",,,,
05156,Mephisto Polka,"Liszt, Franz",S.217 ; LW.A317,IFL 250,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mephisto_Polka,_S.217_(Liszt,_Franz)",,1882–83,,,,".
1883 – Berlin:
Fürstner",Lina Schmalhausen,,,
113619,"Grande fantaisie sur la tyrolienne de l'opéra
La fiancée
de Auber","Liszt, Franz","S.385/1 ; LW.A12a/1 ; Op.1 (1st version)
S.385/2 ; LW.A12a/2 ; Op.1 (2nd version)
S.385/3 ; LW.A12a/3 (3rd version)",IFL 143,A major,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_fantaisie_sur_la_tyrolienne_de_l%27op%C3%A9ra_La_fianc%C3%A9e_de_Auber,_S.385_(Liszt,_Franz)","Souvenir de
La fiancée","1829 (1st version)
1839? (2nd version)
1842? (3rd version)",,,,".
1829 (1st version)
1839 (2nd version)
1842/43 (3rd version)",,,,
86578,Sonata No.1,"Chopin, Frédéric",Op.4,IFC 75,C minor,"4 movements:
Allegro maestoso (C minor)
Minuetto. Allegretto (E
♭
major) - Trio (E
♭
minor)
Larghetto (A
♭
major)
Finale. Presto (C minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.1,_Op.4_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1828,"Sonate pour piano nº 1
;
Piano Sonata No. 1 in C minor, Op. 4
;
I Sonata fortepianowa (Chopin)
;
Соната для фортепіано № 1 (Шопен)
;
Klaviersonate Nr. 1 (Chopin)
;
ピアノソナタ第1番 (ショパン)
;
Sonata para piano n.º 1 (Chopin)
;
Sonata per pianoforte n. 1 op. 4
;
Sonata per a piano núm. 1
;
Соната для фортепиано № 1
;
Σονάτα για πιάνο No. 1","WorldCat
;
Wikipedia
;
VIAF
:
173970256
;
LCCN
:
no00025339
;
BNF
:
14801792r
;
NLA
:
35427352",,".
1851",Józef Elsner,"Sonata para piano nº1 (Chopin)
;
Sonata para piano n º 1 (Chopin)
;
Sonata para piano n 1 (Chopin)
;
Sonata para piano n. 1 (Chopin)",,
