,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,First Publication,Name Translations,Name Aliases,Authorities,Year/Date of Composition,Dedication,Average Duration,Copyright Information,Language,Librettist
00540,Barcarolle No.12,"Fauré, Gabriel",Op.106bis,IGF 17,E-flat major,1 barcarolle,Romantic,Romantic,Piano,"https://imslp.org/wiki/Barcarolle_No.12,_Op.106bis_(Faur%C3%A9,_Gabriel)",,".
1916",,,,1913-15,"Louis Diémer
(1843–1919)",,,,
180646,Capriccio,"Tchaikovsky, Pyotr",Op.8 ; TH 130 ; ČW 106,IPT 22,G-flat major,Allegro giusto (160 bars),Romantic,Romantic,Piano,"https://imslp.org/wiki/Capriccio,_Op.8_(Tchaikovsky,_Pyotr)",Каприс (Каприччио),".
1870 — Moscow:
P. Jurgenson
. 9 pages. Plate 658.",,,,1870,"Karl Klindworth
(1830–1916)",5 minutes,,,
432529,2 Idylles,"Berens, Hermann",Op.93,IHB 16,,"2 pieces
In ruhigem, aber nicht schleppenden Zeitmass,
durchweg zart und innig vorzutragen (G minor)
Allegro non troppo (C major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Idylles,_Op.93_(Berens,_Hermann)",Zwei Idyllen für das Pianoforte,".
1872",,,,,An Frau Jenny Sellholm in Stockholm,5-10 minutes,,,
39730,Hungarian Rhapsody No.16,"Liszt, Franz",S.244/16 ; LW.A132/16,IFL 178,A minor,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Hungarian_Rhapsody_No.16,_S.244/16_(Liszt,_Franz)",Ungarische Rhapsodie zu den Budapester Munkácsy-Feierlichkeiten / Magyar rhapsodia,".
1882","Hungarian Rhapsody No. 16
;
Ungarische Rhapsodie Nr. 16
;
第16號匈牙利狂想曲","Ungarische Rhapsodie zu den Budapester Munkácsy-Feierlichkeiten
;
Magyar rhapsodia",Wikipedia,1882,Miháy Munkacsy (1844–1900),,,,
07872,Piano Sonata No.1,"Sauer, Emil von",,IES 18,,4,Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.1_(Sauer,_Emil_von)",,,,,,,Paul de Conne,30 minutes,,,
288783,Grande fantaisie sur l'air écossais 'Robin Adair',"Kalkbrenner, Friedrich Wilhelm",Op.21,IFK 36,B-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_fantaisie_sur_l%27air_%C3%A9cossais_%27Robin_Adair%27,_Op.21_(Kalkbrenner,_Friedrich_Wilhelm)",Grande fantaisie pour le piano forte : composée sur l'Air Ecossais Robin Adair vocalisé par Mr. Ponchard dans le 3ème. acte de La dame Blanche,".
1816 – Paris: I. Pleyel & Fils",,,,,,,,,
09897,Piano Sonata No.11,"Dussek, Jan Ladislav",Op.35 No.1,IJD 48,B-flat major,"2:
Allegro moderato e maestoso
Finale. Allegro non troppo ma con spirito",Romantic,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.11,_Op.35_No.1_(Dussek,_Jan_Ladislav)",,,,,,,,20 minutes,,,
12786,Aveu passionné,"Tchaikovsky, Pyotr",TH 148 ; ČW 185,IPT 18,E minor,1 (Moderato mosso),Romantic,Romantic,Piano,"https://imslp.org/wiki/Aveu_passionn%C3%A9_(Tchaikovsky,_Pyotr)",Страстное признание,".
1949 - Moscow:
Muzgiz
(in vol.53 of
Pyotr Tchaikovsky: Complete Collected Works
, p.229–331). Plate М 18919 Г.",,,,1891,,3 minutes,,,
361669,Souvenir de Bellini,"Czerny, Carl",Op.386,ICC 233,C minor,8 sections,Romantic,Romantic,Piano,"https://imslp.org/wiki/Souvenir_de_Bellini,_Op.386_(Czerny,_Carl)",Fantaisie et variations brillantes sur 'la Derniere Pensée' de Bellini,,,,,,,,,,
32982,5 Karakterstykker,"Schytte, Ludvig",Op.3,ILS 21,,"5 pieces:
Humoreske
Impromptu
Nocturne
Salut de printemps
Caprice",Romantic,Romantic,Piano,"https://imslp.org/wiki/5_Karakterstykker,_Op.3_(Schytte,_Ludvig)",,,,,,,,,,,
04404,Organ Concerto in C major,"Bach, Johann Sebastian",BWV 595 ; BC J 87,IJB 449,C major,1 [No Tempo],Baroque,Baroque,Piano,"https://imslp.org/wiki/Organ_Concerto_in_C_major,_BWV_595_(Bach,_Johann_Sebastian)",,".
1852 or earlier",,,,1713–14,,,,,
357177,Valse-Etude No.1,"Mayer, Charles",Op.69,ICM 86,A-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Valse-Etude_No.1,_Op.69_(Mayer,_Charles)",1ière Valse-Etude,".
1843 – Berlin: Charles Paez
(
Hofmeister's
Monatsbericht
(1843), p.167
)",,,,,,,,,
00857,For Children,"Bartók, Béla",Sz.42,IBB 13,see below,"85 pieces in 4 volumes (original), 79 pieces in 2 volumes (revised):
Volumes 1 and 2
(after Hungarian folksongs)
1. Sweet as sugar. Allegro (C major)
2. Sunrise. Andante (C major)
3. Former friends. Andante (A minor)
4. Soft tears. Allegro (C major)
5. Former friends. Poco allegretto (C major)
6. Country dance. Allegro (D dorian)
7. Flower song. Andante grazioso (C major)
8. My gift to you. Allegretto (D dorian)
9. Spring dance. Molto adagio (D dorian)
10. Exotic flowers. Allegro molto (A minor)
11. Me and the rain. Molto sostenuto (D dorian)
12. Trip (C major)
13. Runaway horse. Andante (D dorian)
14. To cook a goose. Allegretto (D dorian)
15. Hometown. Allegro (D major)
16. Almost innocent. Andante rubato (G minor)
17. The young bride. Adagio (E minor)
18. Sailors' homecoming. Andante non molto (D mixolydian)
19. At the Doboz Inn. Allegretto (D major)
20. Cheers! Poco allegro (G minor)
21. Vigoroso. Allegro robusto (A minor)
22. Doings in Debrecen. Allegretto (F major)
23. She walks my way. Allegro grazioso (C major)
24. Water, water everywhere. Andante sostenuto (A minor)
25. Eve eats an apple. Allegro (D mixolydian)
26. Dance with me. Andante (G minor)
27. Happy dance. Allegramente (D major)
28. Mr. White goes to jail. Parlando (E dorian)
29. Dinner at my house. Allegro (B minor)
30. Cock-a-doodle-do. Andante (D dorian)
31. I remember mama. Allegro scherzando (E phrygian)
32. Wedding day and night. Allegro ironico (C major)
33. Light the way to my love. Andante sostenuto (F minor)
34. Evening Kiss. Andante (F minor)
35. Old maid. Allegro non troppo (F lydian)
36. Absent is my sweetheart. Allegretto (G minor)
37. The lovely girls of Budapest. Poco vivace (G minor)
38. In a good mood. [Allegro] (G minor)
39. Insect wedding. Allegro (G minor)
40. Peasant prayer. Molto vivace (F major)
41. Let's elope! Allegro moderato (A minor)
42. The Swineherd's dance. Allegro vivace (D dorian)
Volumes 3 and 4
(after Slovakian folksongs)
1. All the girls will marry. Allegro (F major)
2. I love him from afar. Andante (F major)
3. A rose for my beloved. Allegretto (F major)
4. Wedding song. Andante (F major)
5. Bird in flight. Molto andante. Theme and variations (G major)
6. Rondo: The old witch's sons. Allegro (C major)
7. Song of the Rogue. Andante (A minor)
8. Dance song: The lovers Bill and Coo. Allegro (E minor)
9. Children's song: The blossom unfolds. Andante (B
♭
major)
10. The fallen soldier. Largo (A minor)
11. Sweetheart, wait for me. Lento (D dorian)
12. Oh, Mother-in-law! Poco andante (G minor)
13. A swim in the river. Allegro (G minor)
14. Ploughing a field. Moderato (D major)
15. Slow dance. Molto tranquillo (G major)
16. Lamentoso. Lento (E minor)
17. The maid chooses a mate. Andante (E minor)
18. Former flame. Sostenuto - Allegro vivace (E major)
19. Distant lover. Assai lento (A minor)
20. Stay home, Hanulienka. Prestissimo (F lydian)
21. A funny story. Allegro moderato (C major)
22. Country festival. Molto allegro (A minor)
23. The old shepherd. Molto rubato, non troppo lento (D dorian)
24. The pine forest. Poco andante (D minor)
25. Bird in space. Andante (A minor)
26. Little scherzo. Allegretto (C major)
27. High spirits. Allegro (C major)
28. The Shepherd's Pipe. Andante molto rubato (E modal)
29. A jest. Allegro (A lydian)
30. Sad tale. Andante, molto rubato (G minor)
31. Canon. Poco vivace (E minor)
32. Young love. Vivace (G major)
33. Deep in the Forest. Poco andante (D minor)
34. The hidden house. Poco allegretto (F major)
35. Johnny is a bully. Allegro (F major)
36. Roses for my sweetheart. Largo (C major)
37. On the banks of the Danube. Molto tranquillo (C minor)
38. At parting. Adagio (A minor)
39. The highwayman. Poco largo (D minor)
40. Sweet summer breeze. Parlando, molto rubato (D mixolydian)
41. The strong farmer. Allegro moderato (G minor)
42. Arioso Lamentoso. Lento (C minor)
43. Remembrance. Lento (D major)
Volume 1
(after Hungarian folksongs, revision)
1. Children at Play. Allegro (C major)
2. Children's Song. Andante (C major)
3. Quasi adagio (A minor)
4. Pillow Dance. Allegro (C major)
5. Play. Allegretto (C major)
6. Study for the Left Hand. Allegro (D dorian)
7. Play Song. Andante grazioso (C major)
8. Children's Game. Allegretto (D dorian)
9. Song. Adagio (D major)
10. Children's Dance. Allegro molto (A dorian)
11. Lento (D major)
12. Allegro (C major)
13. Ballad. Andante (D minor)
14. Allegretto (D minor)
15. Allegro moderato (D major)
16. Old Hungarian Tune. Andante rubato (G minor)
17. Round Dance. Lento (E minor)
18. Sailors' Song. Andante non molto (D mixolydian)
19. Allegretto (D mixolydian)
20. Drinking Song. Poco allegro (G minor)
21. Allegro rubusto (A minor)
22. Allegretto (F major)
23. Dance Song. Allegro grazioso (C major)
24. Andante sostenuto (A minor)
25. Parlando (E dorian)
26. Moderato (G minor)
27. Jest. Allegramente (D major)
28. Choral. Andante (D dorian)
29. Pentatonic Tune. Allegro scherzando (E phrygian)
30. Jeering Song. Allegro ironico (C major)
31. Andante tranquillo (F minor)
32. Andante (F minor)
33. Allegro non troppo (F lydian)
34. Allegro (B
♭
major)
35. Con moto (G minor)
36. Drunkard's song. Vivace (G minor)
37. Swine-herd's Song. Allegro (G minor)
38. Winter Solstice Song. Molto vivace (F major)
39. Allegro moderato (A minor)
40. Swine-herd's Dance. Allegro vivace (D dorian)
Volume 2
(after Slovakian folksongs, revision)
1. Allegro
2. Andante
3. Allegretto
4. Wedding Song. Andante
5. Variations. Molto andante—A tempo—A tempo—L'istesso tempo
6. Round Dance I. Allegro
7. Sorrow. Andante
8. Dance. Allegro non troppo
9. Round Dance II. Andante
10. Funeral Song. Largo
11. Lento —
attacca
12. Andante rubato —
attacca
13. Allegro
14. Moderato
15. Bagpipe I. Molto tranquillov16. Lament. Lento
17. Andante
18. Teasing Song. Sostenuto
19. Romance. Assai lento
20. Game of Tag. Presto
21. Pleasantry I. Allegro moderato
22. Revelry. Molto allegro
23. Andante tranquillo -
attacca
24. Andante
25. Scherzando. Allegretto
26. Peasant's Flute. Andante, molto rubato
27. Pleasantry II. Allegro
28. Andante, molto rubato
29. Canon. Allegro non troppo
30. Bagpipe II. Vivace
31. The Highway Robber. Allegro
32. Pesante
33. Andante tranquillo
34. Farewell. Adagio
36. Ballad. Moderato
37. Rhapsody. Parlando, molto rubato
38. Dirge. Lento
39. Mourning Song. Lento",Early 20th century,Early 20th century,Piano,"https://imslp.org/wiki/For_Children,_Sz.42_(Bart%C3%B3k,_B%C3%A9la)",Gyermekeknek,".
1909-11 (first issued in 4 vols.)","Für Kinder
;
Pour les enfants
;
Pro děti
;
Pre deti
;
Por Infanoj
;
子供のために","Sz. 42
;
BB 53",Wikipedia,"1908-09, rev.1945",,,,,
230293,Piano Sonata in G major,"Steibelt, Daniel",Op.24,IDS 30,G major,,Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_in_G_major,_Op.24_(Steibelt,_Daniel)",Sonate pour le Piano-Forte,".
1795?",,,,,,,,,
12891,Variations brilliantes on Bellini's 'La sonnambula',"Herz, Henri",Op.105,IHH 91,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Variations_Brilliantes_on_Bellini%27s_%27La_Sonnambula%27,_Op.105_(Herz,_Henri)",Variations brillantes sur un Motif favori de l’Opéra La sonnambula de Bellini,".
1839 – Mainz:
Schott
/ Milan:
Ricordi
(
Hofmeister's
Monatsbericht
(1839), p.23
- Schott's publication)",,,,,Mademoiselle Madeline Phillips,,,,
02190,Prelude and Fugue in F-sharp major,"Bach, Johann Sebastian",BWV 882 ; BC L 116,IJB 538,F-sharp major,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_F-sharp_major,_BWV_882_(Bach,_Johann_Sebastian)",,".
1801 or before",Prélude et fugue en fa dièse majeur (BWV 882),,"WorldCat
;
VIAF
:
294362650
;
GND
:
1029487855","1740 ca. in
Das wohltemperierte Klavier II
(No.13)",,,,,
15430,Le galop,"Raff, Joachim",Op.104,IJR 42,E-flat major,1 (Presto),Romantic,Romantic,Piano,"https://imslp.org/wiki/Le_galop,_Op.104_(Raff,_Joachim)",Caprice brillant pour Piano,".
1864 – Leipzig:
C.F. Peters",,,,1861,"William Mason
(1829–1908)",,,,
124667,2 Tarantelles,"Heller, Stephen",Op.85,ISH 111,,"2 pieces:
Tarantelle in A minor. Presto con spirito
Tarantelle in A
♭
major. Presto",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Tarantelles,_Op.85_(Heller,_Stephen)",,".
1855 – Leipzig:
Breitkopf und Härtel",,,,,"Clara Schumann
(1819–1896)",,,,
69934,Mazurka-caprice,"Raff, Joachim",Op.83,IJR 64,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurka-caprice,_Op.83_(Raff,_Joachim)",,".
1861 – Mainz:
B. Schott's Söhne",,,,1858,Mademoiselle la Comtesse Hedvige Stadnicka,,,,
300611,Le retour,"Chaminade, Cécile",Op.134,ICC 155,C major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Le_Retour,_Op.134_(Chaminade,_C%C3%A9cile)",,".
1909",,,,,Fannie Bloomfield Zeisler,,,,
394066,Rondino No.10 sur un motif de Mozart,"Czerny, Carl",Op.98,ICC 205,E minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Rondino_No.10_sur_un_motif_de_Mozart,_Op.98_(Czerny,_Carl)",Dixième Rondino,".
1827 ca.",,,,,,,,,
96247,Scherzando,"Chaminade, Cécile",Op.10,ICC 169,A major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Scherzando,_Op.10_(Chaminade,_C%C3%A9cile)",,".
1880",,,,,,,,,
430450,Abendlieder,"Spindler, Fritz",Op.271,IFS 1,,"6 pieces:
Sinkende Sonne
Abendläuten
Dämmerung
Sehnsucht
Abendstern. Con delicatezza (E
♭
major)
Mondesstrahl",Romantic,Romantic,Piano,"https://imslp.org/wiki/Abendlieder,_Op.271_(Spindler,_Fritz)",6 Idyllische Stücke ; 6 Idyllic Pieces,".
1874 – Leipzig:
C.F.W. Siegel
Hofmeister's
Monatsbericht
(1874), p.201",,,,,,,,,
449075,Piano Sonata No.1,"Kontski, Anton de",Op.156,IAK 21,F major,"4 movements
I. Allegro non troppo
II. Minuetto. Allegro vivace (F major)
III. Adagio (B
♭
major)
IV. Rondo. Allegro non troppo (F major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.1,_Op.156_(Kontski,_Anton_de)",Grande Sonate,".
1857 ca. – Berlin:
Bote & Bock",,,,,,,,,
462501,Marionettes,"Lyadov, Anatoly",Op.29,IAL 27,E-flat major,1 (Andantino),Romantic,Romantic,Piano,"https://imslp.org/wiki/Marionettes,_Op.29_(Lyadov,_Anatoly)",Куколки,".
1892 – Leipzig:
M.P. Belaieff
, Plate 489
Hofmeister's
Monatsbericht
(1892), p.251",,,,1892,"Nikolay Lavrov
(1861–1928)",,,,
272124,Caprice humoristique,"Chaminade, Cécile",Op.113,ICC 38,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Caprice_humoristique,_Op.113_(Chaminade,_C%C3%A9cile)",,".
1904",,,,,,,,,
378077,Tournament Galop,"Gottschalk, Louis Moreau",,ILG 104,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Tournament_Galop_(Gottschalk,_Louis_Moreau)",,,,,,ca.1854,,,,,
82730,Pianoforte-Schule,"Kalkbrenner, Friedrich Wilhelm",Op.108,IFK 64,,"includes 79 exercises and 12 etudes
Erster Theil ; Première Partie
Vorrede ; Préface ; Preface
Uebungen ; Exercices ; Exercises
Erster Grad ; Premier Degré ; First Degree
Exercise No.1
Exercise No.2
Exercise No.3
Exercise No.4
Air with Variations No.1 (C major)
Zweiter Grad ; Second Degré ; Second Degree
Exercise No.5
Exercise No.6. Air with Variations No.2 (G major)
Dritter Grad ; Troisième Degré ; Third Degree
Exercise No.7
Vierter Grad ; Quatrième Degré ; Fourth Degree
Exercise No.8
Exercise No.9. Air with Variations No.3 (C major)
Fünfter Grad ; Cinquième Degré ; Fifth Degree
Exercise No.10
Exercise No.11
Scales in the Four Positions in all the major and minor keys (Exercises Nos.12–59)
On Sixth (Exercises Nos.60–62)
On Octaves (Exercises Nos.63–65)
On Chromatic Scales (Exercises Nos.66 and 67)
Exercise on Chromatic Scales in the Four Positions (Exercises Nos.68–72)
Chromatic Scales in Contrary Motion (Exercise No.73)
Other Chromatic Passages, in Thirds, Sixth, and Octaves (Exercises Nos.74–78)
On Tenth (Exercise No.79)
Zweiter Theil: 12 Besondere Etuden ; Second Partie: 12 Etudes speciales
Allegro espressivo (A minor)
Presto (G major)
Allegro (G major)
Allegro non troppo (G minor)
Allegro e molto legato (C major)
Allegro non troppo (C
♯
minor)
Allegro risoluto (E minor)
Vierstimmige Fuge für die linke Hand allein ; Fuge à quatre parties pour la main gauche seule. Allegro risoluto (G major)
Presto (C major)
Toccata. Allegro di molto (A minor)
Vivace (F major)
Allegro furioso (C minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Pianoforte-Schule,_Op.108_(Kalkbrenner,_Friedrich_Wilhelm)","Anweisung das Pianoforte mit Hülfe des Handleiters spielen zu lernen
Méthode pour apprendre le piano à l'aide du guide-mains",".
1832 or earlier; ""2de Partie"" 1837 ; Nouvelle édition 1841",,,,,Conservatoires de Musique d'Europe,,,German / French,
411060,Bilder und Erinnerungen für die Jugend. Leichte Klavierstücke.,"Schytte, Ludvig",Op.98,ILS 60,,"8 movements
Ein Wanderbursch.
Die Gemse.
Alte Burgruine.
Spanischer Zapfenstreich.
Fischer im Kahn.
Acolsharfe.
Bajazzo und Hund.
Farbenspiel.",Romantic,Romantic,Piano,"https://imslp.org/wiki/Die_Zauberlaterne,_Op.98_(Schytte,_Ludvig)",The Magic Lantern. Pictures and memories of youth. Easy Piano Pieces.,".
1898 - Berlin: Schlesinger
Hofmeister's
Monatsbericht
(1898), p.465",,,,,,,,,
506528,Albumblatt,"Jadassohn, Salomon",Op.39,ISJ 58,B-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Albumblatt,_Op.39_(Jadassohn,_Salomon)",,".
1872 – Leipzig:
C.F. Peters",,,,,Irene Feist,,,,
00554,3 Nocturnes,"Fauré, Gabriel",Op.33,IGF 63,,"3 pieces:
Nocturne in E-flat minor
Nocturne in B major
Nocturne in A-flat major",Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturne_No.1-3_Op.33_(Faur%C3%A9,_Gabriel)",Trois Nocturnes,".
1883",,,,"1875, 1881, 1883","see below
Madame M. Baugnies
Madame Louise Guyon
Madame A. Bohomoletz",,,,
219654,6 Little Pieces After J.S. Bach,"MacDowell, Edward",,IEM 24,,"6
Courante (aus dem Clavierbüchlein für W.F. Bach, 1720)
Menuett (aus dem Clavierbuche der Anna Magdelena Bach, 1722-25)
Gigue (aus dem Clavierbüchlein für W.F. Bach, 1720)
Menuett (aus dem Clavierbuche der Anna Magdelena Bach, 1722-25)
Menuett (aus dem Clavierbuche der Anna Magdelena Bach, 1722-25)
Marsch (aus dem Clavierbuche der Anna Magdelena Bach, 1722-25)",Romantic,Baroque,Piano,"https://imslp.org/wiki/6_Little_Pieces_After_J.S._Bach_(MacDowell,_Edward)",Sechs kleine Stücke nach Skizzen von J.S. Bach,".
1890 – Boston:
Arthur P. Schmidt",,,,,Ellen D. Putnam,,,,
32983,Poetiske Studier,"Schytte, Ludvig",Op.40,ILS 49,,"6 studies
Allegro molto (C major)
Allegro moderato (A
♭
major)
Allegro agitato (G minor)
Allegro vivace (G major)
Allegro a la burla (B minor)
Allegro (E
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Poetiske_Studier,_Op.40_(Schytte,_Ludvig)",Etudes-Poésies ; Poetische Studien,,,,,,,,,,
265764,2 Fantasiestücke,"MacDowell, Edward",Op.17,IEM 10,,"2 pieces
Erzählung (A Tale)
Hexentanz (Witch's Dance)",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Phantasiest%C3%BCcke,_Op.17_(MacDowell,_Edward)",Two Fantasy Pieces,".
1884 – Breslau:
Julius Hainauer",,,,1883,Hans Huber,,,,
55814,16 Preludes,"Kirchner, Theodor",Op.9,ITK 43,,16 in 2 books of 8,Romantic,Romantic,Piano,"https://imslp.org/wiki/16_Preludes,_Op.9_(Kirchner,_Theodor)",,".
1859 (Rieter-Biedermann)
Hofmeister's
Monatsbericht
(1859), p.113",,,,,,,,,
95919,Réminiscences de 'Lucia di Lammermoor',"Liszt, Franz",S.397 ; LW.A22 ; Op.13,IFL 321,,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/R%C3%A9miniscences_de_Lucia_di_Lammermoor,_S.397_(Liszt,_Franz)",Fantaisie dramatique pour le piano; Premiere Partie,".
1840 – Leipzig:
Friedrich Hofmeister",,,,1835–36,Madame Vanotti,,,,
256403,3 Morceaux,"Godard, Benjamin",Op.51,IBG 66,,"3 pieces
Marche funèbre (D minor): Molto lento — Ancora più lento — Tempo I
Brésilienne (G minor, ends G major): Andantino con moto ma non troppo
Kermesse (F major): Moderato — Un poco più mosso — Tempo I — Un poco più mosso — Valse. Un poco moderato — Allegro moderato — Un poco più mosso — Tempo I
First Perf
ormance
.
see below
Piano version:
1879-12 (Nos. 1 & 2)
Orchestral version:
1881-04, under Colonne
1880-11, under Pasdeloup
1880-02, under Pasdeloup",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Morceaux,_Op.51_(Godard,_Benjamin)",,".
1879-80 ca.",,,,,"see below
Hommage à Madame Sarah Vorbe
à Madame Jacquet",,,,
56894,"8 Variations on ""Ein Weib ist das herrlichste Ding""","Mozart, Wolfgang Amadeus",K.613,IWM 607,F major,9,Classical,Classical,Piano,"https://imslp.org/wiki/8_Variations_on_%22Ein_Weib_ist_das_herrlichste_Ding%22,_K.613_(Mozart,_Wolfgang_Amadeus)","Variations on a theme from the Singspiel ""Der Dumme Gärtner"" (by Schack?)",".
1791 – Vienna:
Artaria
(by June)",Huit variations sur «Ein Weib ist das herrlichste Ding»,"KV 613
;
K. 613","WorldCat
;
VIAF
:
176668698
;
GND
:
300111878
;
BNF
:
139408098","1791 March to April, Vienna",,,,,
365297,Grande fantaisie sur 'Jessonda',"Kullak, Theodor",Op.15,ITK 16,E-flat major,"1 movement, multiple sections:
Larghetto maestoso (E
♭
minor)
= 88 (E
♭
major) -
Andantino -
Andantino con sentimento -
Più lento -
Fughetta
. Allegro ma non troppo (A
♭
major) -
Finale
. Chœur triomphale.-
Un poco più mosso",Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_fantaisie_sur_%27Jessonda%27,_Op.15_(Kullak,_Theodor)",,".
1844 – Vienna:
Tobias Haslinger",,,,,W. Taubert,,,,
13058,Mazurka No.1,"Balakirev, Mily",,IMB 16,A-flat major,1 (Allegro moderato),Romantic,Romantic,Piano,"https://imslp.org/wiki/Mazurka_No.1_(Balakirev,_Mily)",,".
1864",,,,1859/1860 ca.,Анна Фёдоровна Ковалевская,,,,
359612,XII Rondino's faciles et doigtès sur des motifs favoris de Mozart et Rossini,"Czerny, Carl",Op.593,ICC 209,,12 rondinos,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Rondino%27s_faciles_et_doigt%C3%A8s_sur_des_motifs_favoris,_Op.593_(Czerny,_Carl)",,,,,,,,,,,
97932,Foglie sparse,"Martucci, Giuseppe",Op.60,IGM 19,,6 pieces,Romantic,Romantic,Piano,"https://imslp.org/wiki/Foglie_sparse,_Op.60_(Martucci,_Giuseppe)",Album di sei Pezzi,,,,,,,,,,
06477,6 Pieces,"Arensky, Anton",Op.5,IAA 36,,"6 pieces:
Nocturne
. Allegretto semplice
Intermezzo
. Allegro non troppo
Romance
. Andante espressivo
Valse
. Tempo ad libitum
Basso ostinato
. Andante sostenuto (Tranquillo)
Etude
. Presto agitato",Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Pieces,_Op.5_(Arensky,_Anton)",,".
1885 – Moscow:
P. Jurgenson
. Plates 6471 to 6476.",,,,1884,"Sergey Taneyev
(1856–1915)",,,,
24306,12 Variations,"Mozart, Wolfgang Amadeus",K.500,IWM 601,B-flat major,13,Classical,Classical,Piano,"https://imslp.org/wiki/12_Variations_in_B-flat_major,_K.500_(Mozart,_Wolfgang_Amadeus)",Variations on an Allegretto,,"Douze variations sur un allegretto en si bémol majeur
;
12 Variations in B-flat major","KV 500
;
K. 500","WorldCat
;
VIAF
:
184714088
;
GND
:
300111851
;
BNF
:
13940807k",1786,,,,,
69991,Villanella,"Raff, Joachim",Op.89,IJR 149,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Villanella,_Op.89_(Raff,_Joachim)",,".
1862 – Leipzig:
J. Rieter-Biedermann",,,,1859,,,,,
06986,Grosse Konzertfantasie über spanische Weisen,"Liszt, Franz",S.253 ; LW.A114,IFL 148,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grosse_Konzertfantasie_%C3%BCber_spanische_Weisen,_S.253_(Liszt,_Franz)",Große Concert-Phantasie über spanische Weisen,".
1887",,,,1845,Lina Ramann,,,,
451339,"Ach Gott, vom Himmel sieh darein","Pachelbel, Johann",P.2 ; T.10,IJP 2,E Phrygian mode (E minor),1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/Ach_Gott,_vom_Himmel_sieh_darein,_P.2_(Pachelbel,_Johann)",,".
1903 or before",,,,,,,,,
13494,3 Chansons,"Liszt, Franz",S.510a,IFL 57,,"3 pieces:
La Consolation
(S.510a/1)
Avant la bataille
(S.510a/2)
L'espérance
(S.510a/3)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Chansons,_S.510a_(Liszt,_Franz)",,".
1852? – Leipzig:
C.F. Kahnt",,,,1852?,,,,,
398378,Three Piano Sonatas,"Clementi, Muzio",Op.8,IMC 25,,"3 sonatas:
G minor
Allegro con molto spirito
Andante cantabile
Presto
E
♭
major
Allegro assai
Larghetto con espressione
Rondeau allegro
B
♭
major
Presto
Minuetto allegro
Rondeau allegretto grazioso",Classical,Classical,Piano,"https://imslp.org/wiki/3_Piano_Sonatas,_Op.8_(Clementi,_Muzio)",,".
1782",,,,,"see below
Mlle Nancy d'Auenbrugger (
Marianne Auenbrugger
)
Mlle [Marie-]Victoire Imbert[-Colomès]
Mlle Artaud",,,,
483822,"Ich ruf zu dir, Herr Jesu Christ","Buxtehude, Dietrich",BuxWV 196,IDB 81,D minor,1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ,_BuxWV_196_(Buxtehude,_Dietrich)","I call to you, Lord Jesus Christ",".
1875-76",,,,,,,,,
